,Description,Sentiment,Subject
783,"Quantbot Technologies LP acquired a new position in Ameris Bancorp (NASDAQ:ABCB &#8211; Free Report) during the first quarter, Holdings Channel reports. The institutional investor acquired 23,859 shares of the bank&#8217;s stock, valued at approximately $1,154,000. A number of other institutional investors have also made changes to their positions in the business. Norges Bank acquired a [&#8230;]",positive,
784,"Quantbot Technologies LP cut its holdings in shares of ABM Industries Incorporated (NYSE:ABM &#8211; Free Report) by 12.0% during the first quarter, Holdings Channel.com reports. The firm owned 26,254 shares of the business services provider&#8217;s stock after selling 3,566 shares during the period. Quantbot Technologies LP&#8217;s holdings in ABM Industries were worth $1,171,000 as of [&#8230;]",positive,
785,"Quantbot Technologies LP lifted its holdings in shares of ADT Inc. (NYSE:ADT &#8211; Free Report) by 452.9% during the first quarter, according to its most recent 13F filing with the Securities and Exchange Commission (SEC). The firm owned 179,036 shares of the security and automation business&#8217;s stock after purchasing an additional 146,657 shares during the [&#8230;]",positive,
786,"Appian (NASDAQ:APPN &#8211; Get Free Report) and Paycom Software (NYSE:PAYC &#8211; Get Free Report) are both mid-cap computer and technology companies, but which is the better stock? We will contrast the two businesses based on the strength of their valuation, profitability, dividends, analyst recommendations, institutional ownership, earnings and risk. Insider & Institutional Ownership 52.7% of [&#8230;]",positive,
787,"Paycom Software (NYSE:PAYC &#8211; Get Free Report) and Appian (NASDAQ:APPN &#8211; Get Free Report) are both mid-cap computer and technology companies, but which is the superior business? We will contrast the two businesses based on the strength of their analyst recommendations, profitability, earnings, institutional ownership, valuation, dividends and risk. Valuation & Earnings This table compares [&#8230;]",positive,
788,"Little did pre-school teacher Shenlyn Svec know that a summer road trip with her husband, Martin Svec, to the Lone Star State and a serendipitous stop at an artisan ice cream shop in Austin would one-day lead to her opening her own specialty ice cream business.",positive,
789,"Caldwell Partners International (TSE:CWL &#8211; Get Free Report) released its quarterly earnings results on Thursday. The company reported C$0.06 EPS for the quarter, reports. Caldwell Partners International had a negative net margin of 2.45% and a negative return on equity of 7.01%. The business had revenue of C$29.52 million during the quarter. Caldwell Partners International [&#8230;]",positive,
790,"Richelieu Hardware (TSE:RCH &#8211; Get Free Report) posted its earnings results on Thursday. The company reported C$0.42 earnings per share (EPS) for the quarter, hitting the consensus estimate of C$0.42, reports. The business had revenue of C$481.43 million for the quarter, compared to analysts&#8217; expectations of C$481.90 million. Richelieu Hardware had a net margin of [&#8230;]",positive,
791,"Hingham Institution for Savings (NASDAQ:HIFS &#8211; Get Free Report) announced its quarterly earnings data on Friday. The savings and loans company reported $1.00 EPS for the quarter, reports. The business had revenue of $13.10 million during the quarter. Hingham Institution for Savings had a net margin of 12.38% and a return on equity of 2.71%. [&#8230;]",positive,
792,"Unity Bancorp (NASDAQ:UNTY &#8211; Get Free Report) announced its earnings results on Friday. The financial services provider reported $0.93 earnings per share (EPS) for the quarter, missing analysts&#8217; consensus estimates of $0.94 by ($0.01), reports. The business had revenue of $25.46 million for the quarter, compared to analysts&#8217; expectations of $25.81 million. Unity Bancorp had [&#8230;]",positive,
793,"Lexaria Bioscience (NASDAQ:LEXX &#8211; Get Free Report) announced its quarterly earnings data on Friday. The company reported ($0.13) earnings per share for the quarter, missing the consensus estimate of ($0.09) by ($0.04), reports. The business had revenue of $0.08 million for the quarter, compared to the consensus estimate of $0.15 million. Lexaria Bioscience Trading Down [&#8230;]",positive,
794,"Calling for a judicial inquiry, Sachdeva claimed that the PPAC was not part of the approved Business Regulatory Plan for power distribution companies until 2015.",neutral,
795,"Envestnet Portfolio Solutions Inc. grew its stake in Moody&#8217;s Co. (NYSE:MCO &#8211; Free Report) by 2.3% in the 1st quarter, according to its most recent filing with the Securities and Exchange Commission (SEC). The fund owned 7,681 shares of the business services provider&#8217;s stock after purchasing an additional 173 shares during the period. Envestnet Portfolio [&#8230;]",positive,
796,"Daiwa Securities Group Inc. acquired a new stake in TD SYNNEX Co. (NYSE:SNX &#8211; Free Report) during the first quarter, according to its most recent filing with the Securities & Exchange Commission. The firm acquired 600 shares of the business services provider&#8217;s stock, valued at approximately $68,000. A number of other institutional investors have also [&#8230;]",positive,
797,"Duality Advisers LP acquired a new stake in Comfort Systems USA, Inc. (NYSE:FIX &#8211; Free Report) during the 1st quarter, Holdings Channel reports. The institutional investor acquired 1,286 shares of the construction company&#8217;s stock, valued at approximately $409,000. Several other institutional investors and hedge funds have also recently bought and sold shares of the business. [&#8230;]",positive,
798,"GSA Capital Partners LLP bought a new position in shares of Dun & Bradstreet Holdings, Inc. (NYSE:DNB &#8211; Free Report) in the 1st quarter, Holdings Channel reports. The institutional investor bought 61,927 shares of the business services provider&#8217;s stock, valued at approximately $622,000. Other institutional investors and hedge funds have also recently added to or [&#8230;]",positive,
799,"Duality Advisers LP bought a new stake in Republic Services, Inc. (NYSE:RSG &#8211; Free Report) in the first quarter, according to its most recent filing with the Securities & Exchange Commission. The institutional investor bought 1,734 shares of the business services provider&#8217;s stock, valued at approximately $332,000. Other hedge funds have also modified their holdings [&#8230;]",positive,
800,"The broadcaster has booked $135 million in advertising revenue for Paris, which places it in good stead to turn a profit on the $300 million-plus it forked out for the broadcast and streaming rights to five Olympic Games culminating in Brisbane 2032. Nine Entertainment’s bet on the Olympic and Paralympic Games appears to be paying [&#8230;]",positive,
801,"(marketscreener.com) ""This is a career highlight,"" popular K-pop group Stray Kids said as they headlined the British Summer Time Hyde Park Festival on Sunday. The eight-man group from South Korea debuted in 2018 after being formed by JYP Entertainment through a reality show. Theyhave won over fans around the world with their genre-mixing sound and...https://www.marketscreener.com/news/latest/K-pop-stars-Stray-Kids-prepare-for-comeback-with-upbeat-London-show--47377604/?utm_medium=RSS&utm_content=20240714",positive,
802,"To celebrate the Universal Pictures Home Entertainment release of The Bikeriders available on Digital from 22nd July, we are giving 3 lucky winners a digital code of the film, so they can download and keep the star-studded and petrol-packed film across their digital devices! Written and directed by Jeff Nichols (Mud, Take Shelter), THE BIKERIDERS boasts a power-house [&#8230;]The post Win a Digital Copy of The Bikeriders appeared first on HeyUGuys.",positive,
803,"Em entrevista ao Entertainment Weekly, a diretora Zoë Kravitz, que recentemente interpretou a Mulher-Gato em &#8216;Batman&#8216;, revelou por que o título original do suspense &#8216;Pisque Duas Vezes&#8216; teve que ser alterado. Originalmente, a produção seria intitulada Pussy Island (Ilha da B*c*ta, em tradução livre). &#8220;Ficou muito claro para mim que Pussy é uma palavra que, [&#8230;]",positive,
804,"Alexis Ohanian&#8217;s Instagram account has been a source of entertainment for his followers. Be it sharing updates of his new ventures and thoughts or the aspects of his personal life, his way of dropping updates is quite engaging, with each post bringing in a new chapter. Among the types of updates that he&#8217;s regular with, [&#8230;]The post After Olympia, It’s Serena Williams’ Youngest Daughter’s Turn to Judge Father Alexis Ohanian’s Parenting Efforts appeared first on EssentiallySports.",positive,
